Latitude,Longitude,coords
37.7883,-122.4818,17||6
37.7883,-122.4744,17||7
37.7883,-122.4669,17||8
37.7883,-122.4594,17||9
37.7883,-122.452,17||10
37.7883,-122.4445,17||11
37.7883,-122.437,17||12
37.7883,-122.4296,17||13
37.7883,-122.4221,17||14
37.7883,-122.4147,17||15
37.7883,-122.4072,17||16
37.7883,-122.3997,17||17
37.7883,-122.3923,17||18
37.7883,-122.3848,17||19
37.7883,-122.3774,17||20
37.7883,-122.3699,17||21
37.7883,-122.3624,17||22
37.7883,-122.355,17||23
37.7883,-122.3475,17||24
37.7883,-122.3401,17||25
37.7883,-122.3326,17||26
37.7883,-122.3251,17||27
37.7883,-122.3177,17||28
37.7883,-122.3102,17||29
37.7883,-122.3027,17||30
37.7883,-122.2953,17||31
37.7883,-122.2878,17||32
37.7808,-122.5191,18||1
37.7808,-122.5117,18||2
37.7808,-122.5042,18||3
37.7808,-122.4967,18||4
37.7808,-122.4893,18||5
37.7808,-122.4818,18||6
37.7808,-122.4744,18||7
37.7808,-122.4669,18||8
37.7808,-122.4594,18||9
37.7808,-122.452,18||10
37.7808,-122.4445,18||11
37.7808,-122.437,18||12
37.7808,-122.4296,18||13
37.7808,-122.4221,18||14
37.7808,-122.4147,18||15
37.7808,-122.4072,18||16
37.7808,-122.3997,18||17
37.7808,-122.3923,18||18
37.7808,-122.3848,18||19
37.7808,-122.3774,18||20
37.7808,-122.3699,18||21
37.7808,-122.3624,18||22
37.7808,-122.355,18||23
37.7808,-122.3475,18||24
37.7808,-122.3401,18||25
37.7808,-122.3326,18||26
37.7808,-122.3251,18||27
37.7808,-122.3177,18||28
37.7808,-122.3102,18||29
37.7808,-122.3027,18||30
37.7808,-122.2953,18||31
37.7808,-122.2878,18||32
37.7734,-122.5191,19||1
37.7734,-122.5117,19||2
37.7734,-122.5042,19||3
37.7734,-122.4967,19||4
37.7734,-122.4893,19||5
37.7734,-122.4818,19||6
37.7734,-122.4744,19||7
37.7734,-122.4669,19||8
37.7734,-122.4594,19||9
37.7734,-122.452,19||10
37.7734,-122.4445,19||11
37.7734,-122.437,19||12
37.7734,-122.4296,19||13
37.7734,-122.4221,19||14
37.7734,-122.4147,19||15
37.7734,-122.4072,19||16
37.7734,-122.3997,19||17
37.7734,-122.3923,19||18
37.7734,-122.3848,19||19
37.7734,-122.3774,19||20
37.7734,-122.3699,19||21
37.7734,-122.3624,19||22
37.7734,-122.355,19||23
37.7734,-122.3475,19||24
37.7734,-122.3401,19||25
37.7734,-122.3326,19||26
37.7734,-122.3251,19||27
37.7734,-122.3177,19||28
37.7734,-122.3102,19||29
37.7734,-122.3027,19||30
37.7734,-122.2953,19||31
37.7734,-122.2878,19||32
37.7659,-122.5191,20||1
37.7659,-122.5117,20||2
37.7659,-122.5042,20||3
37.7659,-122.4967,20||4
37.7659,-122.4893,20||5
37.7659,-122.4818,20||6
37.7659,-122.4744,20||7
37.7659,-122.4669,20||8
37.7659,-122.4594,20||9
37.7659,-122.452,20||10
37.7659,-122.4445,20||11
37.7659,-122.437,20||12
37.7659,-122.4296,20||13
37.7659,-122.4221,20||14
37.7659,-122.4147,20||15
37.7659,-122.4072,20||16
37.7659,-122.3997,20||17
37.7659,-122.3923,20||18
37.7659,-122.3848,20||19
37.7659,-122.3774,20||20
37.7659,-122.3699,20||21
37.7659,-122.3624,20||22
37.7659,-122.355,20||23
37.7659,-122.3475,20||24
37.7659,-122.3401,20||25
37.7659,-122.3326,20||26
37.7659,-122.3251,20||27
37.7659,-122.3177,20||28
37.7659,-122.3102,20||29
37.7659,-122.3027,20||30
37.7659,-122.2953,20||31
37.7659,-122.2878,20||32
37.7585,-122.5191,21||1
37.7585,-122.5117,21||2
37.7585,-122.5042,21||3
37.7585,-122.4967,21||4
37.7585,-122.4893,21||5
37.7585,-122.4818,21||6
37.7585,-122.4744,21||7
37.7585,-122.4669,21||8
37.7585,-122.4594,21||9
37.7585,-122.452,21||10
37.7585,-122.4445,21||11
37.7585,-122.437,21||12
37.7585,-122.4296,21||13
37.7585,-122.4221,21||14
37.7585,-122.4147,21||15
37.7585,-122.4072,21||16
37.7585,-122.3997,21||17
37.7585,-122.3923,21||18
37.7585,-122.3848,21||19
37.7585,-122.3774,21||20
37.7585,-122.3699,21||21
37.7585,-122.3624,21||22
37.7585,-122.355,21||23
37.7585,-122.3475,21||24
37.7585,-122.3401,21||25
37.7585,-122.3326,21||26
37.7585,-122.3251,21||27
37.7585,-122.3177,21||28
37.7585,-122.3102,21||29
37.7585,-122.3027,21||30
37.7585,-122.2953,21||31
37.7585,-122.2878,21||32
37.751,-122.5191,22||1
37.751,-122.5117,22||2
37.751,-122.5042,22||3
37.751,-122.4967,22||4
37.751,-122.4893,22||5
37.751,-122.4818,22||6
37.751,-122.4744,22||7
37.751,-122.4669,22||8
37.751,-122.4594,22||9
37.751,-122.452,22||10
37.751,-122.4445,22||11
37.751,-122.437,22||12
37.751,-122.4296,22||13
37.751,-122.4221,22||14
37.751,-122.4147,22||15
37.751,-122.4072,22||16
37.751,-122.3997,22||17
37.751,-122.3923,22||18
37.751,-122.3848,22||19
37.751,-122.3774,22||20
37.751,-122.3699,22||21
37.751,-122.3624,22||22
37.751,-122.355,22||23
37.751,-122.3475,22||24
37.751,-122.3401,22||25
37.751,-122.3326,22||26
37.751,-122.3251,22||27
37.751,-122.3177,22||28
37.751,-122.3102,22||29
37.751,-122.3027,22||30
37.751,-122.2953,22||31
37.751,-122.2878,22||32
37.7435,-122.5191,23||1
37.7435,-122.5117,23||2
37.7435,-122.5042,23||3
37.7435,-122.4967,23||4
37.7435,-122.4893,23||5
37.7435,-122.4818,23||6
37.7435,-122.4744,23||7
37.7435,-122.4669,23||8
37.7435,-122.4594,23||9
37.7435,-122.452,23||10
37.7435,-122.4445,23||11
37.7435,-122.437,23||12
37.7435,-122.4296,23||13
37.7435,-122.4221,23||14
37.7435,-122.4147,23||15
37.7435,-122.4072,23||16
37.7435,-122.3997,23||17
37.7435,-122.3923,23||18
37.7435,-122.3848,23||19
37.7435,-122.3774,23||20
37.7435,-122.3699,23||21
37.7435,-122.3624,23||22
37.7435,-122.355,23||23
37.7435,-122.3475,23||24
37.7435,-122.3401,23||25
37.7435,-122.3326,23||26
37.7435,-122.3251,23||27
37.7435,-122.3177,23||28
37.7435,-122.3102,23||29
37.7435,-122.3027,23||30
37.7435,-122.2953,23||31
37.7435,-122.2878,23||32
37.7361,-122.5191,24||1
37.7361,-122.5117,24||2
37.7361,-122.5042,24||3
37.7361,-122.4967,24||4
37.7361,-122.4893,24||5
37.7361,-122.4818,24||6
37.7361,-122.4744,24||7
37.7361,-122.4669,24||8
37.7361,-122.4594,24||9
37.7361,-122.452,24||10
37.7361,-122.4445,24||11
37.7361,-122.437,24||12
37.7361,-122.4296,24||13
37.7361,-122.4221,24||14
37.7361,-122.4147,24||15
37.7361,-122.4072,24||16
37.7361,-122.3997,24||17
37.7361,-122.3923,24||18
37.7361,-122.3848,24||19
37.7361,-122.3774,24||20
37.7361,-122.3699,24||21
37.7361,-122.3624,24||22
37.7361,-122.355,24||23
37.7361,-122.3475,24||24
37.7361,-122.3401,24||25
37.7361,-122.3326,24||26
37.7361,-122.3251,24||27
37.7361,-122.3177,24||28
37.7361,-122.3102,24||29
37.7361,-122.3027,24||30
37.7361,-122.2953,24||31
37.7361,-122.2878,24||32
37.7286,-122.5191,25||1
37.7286,-122.5117,25||2
37.7286,-122.5042,25||3
37.7286,-122.4967,25||4
37.7286,-122.4893,25||5
37.7286,-122.4818,25||6
37.7286,-122.4744,25||7
37.7286,-122.4669,25||8
37.7286,-122.4594,25||9
37.7286,-122.452,25||10
37.7286,-122.4445,25||11
37.7286,-122.437,25||12
37.7286,-122.4296,25||13
37.7286,-122.4221,25||14
37.7286,-122.4147,25||15
37.7286,-122.4072,25||16
37.7286,-122.3997,25||17
37.7286,-122.3923,25||18
37.7286,-122.3848,25||19
37.7286,-122.3774,25||20
37.7286,-122.3699,25||21
37.7286,-122.3624,25||22
37.7286,-122.355,25||23
37.7286,-122.3475,25||24
37.7286,-122.3401,25||25
37.7286,-122.3326,25||26
37.7286,-122.3251,25||27
37.7286,-122.3177,25||28
37.7286,-122.3102,25||29
37.7286,-122.3027,25||30
37.7286,-122.2953,25||31
37.7286,-122.2878,25||32
37.7211,-122.5191,26||1
37.7211,-122.5117,26||2
37.7211,-122.5042,26||3
37.7211,-122.4967,26||4
37.7211,-122.4893,26||5
37.7211,-122.4818,26||6
37.7211,-122.4744,26||7
37.7211,-122.4669,26||8
37.7211,-122.4594,26||9
37.7211,-122.452,26||10
37.7211,-122.4445,26||11
37.7211,-122.437,26||12
37.7211,-122.4296,26||13
37.7211,-122.4221,26||14
37.7211,-122.4147,26||15
37.7211,-122.4072,26||16
37.7211,-122.3997,26||17
37.7211,-122.3923,26||18
37.7211,-122.3848,26||19
37.7211,-122.3774,26||20
37.7211,-122.3699,26||21
37.7211,-122.3624,26||22
37.7211,-122.355,26||23
37.7211,-122.3475,26||24
37.7211,-122.3401,26||25
37.7211,-122.3326,26||26
37.7211,-122.3251,26||27
37.7211,-122.3177,26||28
37.7211,-122.3102,26||29
37.7211,-122.3027,26||30
37.7211,-122.2953,26||31
37.7211,-122.2878,26||32
37.7137,-122.5191,27||1
37.7137,-122.5117,27||2
37.7137,-122.5042,27||3
37.7137,-122.4967,27||4
37.7137,-122.4893,27||5
37.7137,-122.4818,27||6
37.7137,-122.4744,27||7
37.7137,-122.4669,27||8
37.7137,-122.4594,27||9
37.7137,-122.452,27||10
37.7137,-122.4445,27||11
37.7137,-122.437,27||12
37.7137,-122.4296,27||13
37.7137,-122.4221,27||14
37.7137,-122.4147,27||15
37.7137,-122.4072,27||16
37.7137,-122.3997,27||17
37.7137,-122.3923,27||18
37.7137,-122.3848,27||19
37.7137,-122.3774,27||20
37.7137,-122.3699,27||21
37.7137,-122.3624,27||22
37.7137,-122.355,27||23
37.7137,-122.3475,27||24
37.7137,-122.3401,27||25
37.7137,-122.3326,27||26
37.7137,-122.3251,27||27
37.7137,-122.3177,27||28
37.7137,-122.3102,27||29
37.7137,-122.3027,27||30
37.7137,-122.2953,27||31
37.7137,-122.2878,27||32
37.7062,-122.5191,28||1
37.7062,-122.5117,28||2
37.7062,-122.5042,28||3
37.7062,-122.4967,28||4
37.7062,-122.4893,28||5
37.7062,-122.4818,28||6
37.7062,-122.4744,28||7
37.7062,-122.4669,28||8
37.7062,-122.4594,28||9
37.7062,-122.452,28||10
37.7062,-122.4445,28||11
37.7062,-122.437,28||12
37.7062,-122.4296,28||13
37.7062,-122.4221,28||14
37.7062,-122.4147,28||15
37.7062,-122.4072,28||16
37.7062,-122.3997,28||17
37.7062,-122.3923,28||18
37.7062,-122.3848,28||19
37.7062,-122.3774,28||20
37.7062,-122.3699,28||21
37.7062,-122.3624,28||22
37.7062,-122.355,28||23
37.7062,-122.3475,28||24
37.7062,-122.3401,28||25
37.7062,-122.3326,28||26
37.7062,-122.3251,28||27
37.7062,-122.3177,28||28
37.7062,-122.3102,28||29
37.7062,-122.3027,28||30
37.7062,-122.2953,28||31
37.7062,-122.2878,28||32
37.6988,-122.5191,29||1
37.6988,-122.5117,29||2
37.6988,-122.5042,29||3
37.6988,-122.4967,29||4
37.6988,-122.4893,29||5
37.6988,-122.4818,29||6
37.6988,-122.4744,29||7
37.6988,-122.4669,29||8
37.6988,-122.4594,29||9
37.6988,-122.452,29||10
37.6988,-122.4445,29||11
37.6988,-122.437,29||12
37.6988,-122.4296,29||13
37.6988,-122.4221,29||14
37.6988,-122.4147,29||15
37.6988,-122.4072,29||16
37.6988,-122.3997,29||17
37.6988,-122.3923,29||18
37.6988,-122.3848,29||19
37.6988,-122.3774,29||20
37.6988,-122.3699,29||21
37.6988,-122.3624,29||22
37.6988,-122.355,29||23
37.6988,-122.3475,29||24
37.6988,-122.3401,29||25
37.6988,-122.3326,29||26
37.6988,-122.3251,29||27
37.6988,-122.3177,29||28
37.6988,-122.3102,29||29
37.6988,-122.3027,29||30
37.6988,-122.2953,29||31
37.6988,-122.2878,29||32
37.6913,-122.5191,30||1
37.6913,-122.5117,30||2
37.6913,-122.5042,30||3
37.6913,-122.4967,30||4
37.6913,-122.4893,30||5
37.6913,-122.4818,30||6
37.6913,-122.4744,30||7
37.6913,-122.4669,30||8
37.6913,-122.4594,30||9
37.6913,-122.452,30||10
37.6913,-122.4445,30||11
37.6913,-122.437,30||12
37.6913,-122.4296,30||13
37.6913,-122.4221,30||14
37.6913,-122.4147,30||15
37.6913,-122.4072,30||16
37.6913,-122.3997,30||17
37.6913,-122.3923,30||18
37.6913,-122.3848,30||19
37.6913,-122.3774,30||20
37.6913,-122.3699,30||21
37.6913,-122.3624,30||22
37.6913,-122.355,30||23
37.6913,-122.3475,30||24
37.6913,-122.3401,30||25
37.6913,-122.3326,30||26
37.6913,-122.3251,30||27
37.6913,-122.3177,30||28
37.6913,-122.3102,30||29
37.6913,-122.3027,30||30
37.6913,-122.2953,30||31
37.6913,-122.2878,30||32
37.6838,-122.5191,31||1
37.6838,-122.5117,31||2
37.6838,-122.5042,31||3
37.6838,-122.4967,31||4
37.6838,-122.4893,31||5
37.6838,-122.4818,31||6
37.6838,-122.4744,31||7
37.6838,-122.4669,31||8
37.6838,-122.4594,31||9
37.6838,-122.452,31||10
37.6838,-122.4445,31||11
37.6838,-122.437,31||12
37.6838,-122.4296,31||13
37.6838,-122.4221,31||14
37.6838,-122.4147,31||15
37.6838,-122.4072,31||16
37.6838,-122.3997,31||17
37.6838,-122.3923,31||18
37.6838,-122.3848,31||19
37.6838,-122.3774,31||20
37.6838,-122.3699,31||21
37.6838,-122.3624,31||22
37.6838,-122.355,31||23
37.6838,-122.3475,31||24
37.6838,-122.3401,31||25
37.6838,-122.3326,31||26
37.6838,-122.3251,31||27
37.6838,-122.3177,31||28
37.6838,-122.3102,31||29
37.6838,-122.3027,31||30
37.6838,-122.2953,31||31
37.6838,-122.2878,31||32
37.6764,-122.5191,32||1
37.6764,-122.5117,32||2
37.6764,-122.5042,32||3
37.6764,-122.4967,32||4
37.6764,-122.4893,32||5
37.6764,-122.4818,32||6
37.6764,-122.4744,32||7
37.6764,-122.4669,32||8
37.6764,-122.4594,32||9
37.6764,-122.452,32||10
37.6764,-122.4445,32||11
37.6764,-122.437,32||12
37.6764,-122.4296,32||13
37.6764,-122.4221,32||14
37.6764,-122.4147,32||15
37.6764,-122.4072,32||16
37.6764,-122.3997,32||17
37.6764,-122.3923,32||18
37.6764,-122.3848,32||19
37.6764,-122.3774,32||20
37.6764,-122.3699,32||21
37.6764,-122.3624,32||22
37.6764,-122.355,32||23
37.6764,-122.3475,32||24
37.6764,-122.3401,32||25
37.6764,-122.3326,32||26
37.6764,-122.3251,32||27
37.6764,-122.3177,32||28
37.6764,-122.3102,32||29
37.6764,-122.3027,32||30
37.6764,-122.2953,32||31
37.6764,-122.2878,32||32
