lat,lon,Home to EDU and Work (Production) (i),Home to EDU and work (Attraction) (i),Work to Home (Production) (ii),Work to Home (Attraction) (ii),Home to shop Production,Home to Shop Attraction,Shop to Home Production,Shop to Home Attraction,EDU and work to Shop (Production),EDU and work to Shop (Attraction)
37.88032223,-122.5050288,16758,0,0,14364,3591,0,0,3591,0,0
37.88529644,-122.5116611,0,0,0,0,0,0,0,0,0,0
37.8629125,-122.5116611,0,0,0,0,0,0,0,0,0,0
37.77965992,-122.4631776,0,20001,16001,0,0,0,0,0,4000,0
37.75525637,-122.5095293,18035,0,0,11172,2793,0,0,2793,0,0
37.73233948,-122.5116611,0,3692,2954,0,0,0,0,0,738,0
37.71617329,-122.509174,0,0,0,0,0,2206,2206,0,0,2206
37.70062889,-122.5097958,0,0,0,0,0,2942,2942,0,0,2942
37.67637961,-122.5116611,0,0,0,0,0,2206,2206,0,0,2206
37.85545118,-122.5041998,0,0,0,0,0,0,0,0,0,0
37.69130224,-122.4855465,0,0,0,0,0,0,0,0,0,0
37.67637961,-122.4967385,0,0,0,0,0,0,0,0,0,0
37.66891829,-122.4743545,21758,0,0,14364,3591,0,0,3591,0,0
37.89275776,-122.4967385,0,5538,4430,0,0,0,0,0,1108,0
37.85172052,-122.4930078,0,0,0,0,0,2942,2942,0,0,2942
37.83773056,-122.4818158,14897,0,0,12768,3192,0,0,3192,0,0
37.90021907,-122.4892771,0,0,0,0,0,0,0,0,0,0
37.89524486,-122.4843029,0,0,0,0,0,2206,2206,0,0,2206
37.88529644,-122.4892771,0,0,0,0,0,0,0,0,0,0
37.88529644,-122.4818158,0,0,0,0,0,0,0,0,0,0
37.87783513,-122.4780852,0,0,0,0,0,0,0,0,0,0
37.85545118,-122.4818158,0,5538,4430,0,0,0,0,0,1108,0
37.67637961,-122.4706238,0,7385,5908,0,0,0,0,0,1477,0
37.90021907,-122.4594319,0,0,0,0,0,0,0,0,0,0
37.88231192,-122.4586857,18621,0,0,15961,3990,0,0,3990,0,0
37.85172052,-122.4743545,0,0,0,0,0,1471,1471,0,0,1471
37.70622487,-122.4706238,0,0,0,0,0,1471,1471,0,0,1471
37.89275776,-122.4594319,0,5538,4430,0,0,0,0,0,1108,0
37.87037381,-122.4668932,0,0,0,0,0,0,0,0,0,0
37.81192684,-122.4644061,11172,0,0,9576,2394,0,0,2394,0,0
37.75099276,-122.4668932,0,0,0,0,0,0,0,0,0,0
37.86477783,-122.4510379,0,59595,47676,0,0,0,0,0,11919,0
37.68831771,-122.448986,14311,0,0,7980,1995,0,0,1995,0,0
37.67637961,-122.4482399,0,0,0,0,0,1471,1471,0,0,1471
37.8912655,-122.4400324,0,0,0,0,0,3677,3677,0,0,3677
37.85545118,-122.4407786,0,0,0,0,0,1471,1471,0,0,1471
37.87037381,-122.4370479,0,0,0,0,0,735,735,0,0,735
37.67594071,-122.3997413,36656,0,0,27133,6783,0,0,6783,0,0
37.67016185,-122.4208817,0,0,0,0,0,4413,4413,0,0,4413
37.89275776,-122.4295866,0,0,0,0,0,0,0,0,0,0
37.8911794,-122.3571257,0,0,0,0,0,0,0,0,0,0
37.8629125,-122.4221253,0,0,0,0,0,0,0,0,0,0
37.69316757,-122.42026,0,59595,47676,0,0,0,0,0,11919,0
37.72860882,-122.4221253,0,0,0,0,0,0,0,0,0,0
37.70771714,-122.4176485,0,0,0,0,0,3677,3677,0,0,3677
37.86184659,-122.4050709,0,52143,41714,0,0,0,0,0,10429,0
37.83938066,-122.395915,72622,0,0,62246,15562,0,0,15562,0,0
37.79256295,-122.4104004,0,0,0,0,0,0,0,0,0,0
37.75472342,-122.4072027,0,0,0,0,0,0,0,0,0,0
37.71614804,-122.3356573,0,0,0,0,0,0,0,0,0,0
37.80354638,-122.3789794,0,0,0,0,0,16915,16915,0,0,16915
37.70995553,-122.3997413,0,0,0,0,0,0,0,0,0,0
37.77088961,-122.3947671,0,0,0,0,0,2206,2206,0,0,2206
37.6950329,-122.39228,16172,0,0,9576,2394,0,0,2394,0,0
37.68384093,-122.39228,0,5538,4430,0,0,0,0,0,1108,0
37.88816618,-122.371044,0,0,0,0,0,0,0,0,0,0
37.78403573,-122.3837528,0,52145,41716,0,0,0,0,0,10429,0
37.81441395,-122.3848187,0,3692,2954,0,0,0,0,0,738,0
37.7659154,-122.3736267,0,0,0,0,0,0,0,0,0,0
37.86589702,-122.3728806,0,0,0,0,0,0,0,0,0,0
37.77337671,-122.3773574,0,0,0,0,0,735,735,0,0,735
37.85992797,-122.363927,0,9231,7385,0,0,0,0,0,1846,0
37.83022483,-122.3482227,0,0,0,0,0,0,0,0,0,0
37.78011596,-122.3376439,57725,0,0,49478,12369,0,0,12369,0,0
37.82844833,-122.3468015,0,0,0,0,0,0,0,0,0,0
37.87432392,-122.3290783,0,0,0,0,0,12503,12503,0,0,12503
37.86374153,-122.345025,16758,0,0,14364,3591,0,0,3591,0,0
37.79426839,-122.3519889,0,9231,7385,0,0,0,0,0,1846,0
37.7518218,-122.3383927,0,0,0,0,0,0,0,0,0,0
37.88529644,-122.3363202,0,0,0,0,0,1471,1471,0,0,1471
37.8629125,-122.3116978,0,9231,7385,0,0,0,0,0,1846,0
37.82887025,-122.2980809,59588,0,0,51076,12770,0,0,12770,0,0
37.79847386,-122.3108838,0,0,0,0,0,8090,8090,0,0,8090
37.77088961,-122.3151798,0,0,0,0,0,2207,2207,0,0,2207
37.86244616,-122.2920186,0,0,0,0,0,0,0,0,0,0
37.79949132,-122.2990136,0,7385,5908,0,0,0,0,0,1477,0
37.79078645,-122.2890652,0,0,0,0,0,0,0,0,0,0
37.7761747,-122.2896869,0,59595,47676,0,0,0,0,0,11919,0